,0
0,1967
1,american
2,ancestryfuck
3,article
4,articles
5,ass
6,bitch
7,bleachanhero
8,block
9,blocked
10,bunksteve
11,centraliststupid
12,come
13,cunt
14,deletion
15,dick
16,did
17,die
18,discussion
19,does
20,doesn
21,don
22,dont
23,drink
24,eat
25,edit
26,editing
27,edits
28,fact
29,faggot
30,fan
31,fat
32,fuck
33,fucking
34,gay
35,going
36,good
37,hate
38,help
39,homo
40,huge
41,image
42,information
43,jew
44,jewish
45,jews
46,just
47,kill
48,know
49,licker
50,life
51,like
52,list
53,little
54,ll
55,look
56,make
57,mexicans
58,mitt
59,need
60,new
61,nhrhs2010
62,nigga
63,niggas
64,nigger
65,niggers
66,org
67,page
68,pages
69,people
70,piece
71,really
72,right
73,romney
74,said
75,say
76,section
77,shit
78,sources
79,spanish
80,stop
81,stupid
82,suck
83,sucks
84,talk
85,thank
86,thanks
87,think
88,time
89,tommy2010
90,use
91,user
92,utc
93,ve
94,want
95,way
96,wiki
97,wikipedia
98,work
99,world
