,0
0,add
1,aids
2,article
3,articles
4,ass
5,asshole
6,bad
7,bastered
8,best
9,bitch
10,block
11,blocked
12,bullshit
13,care
14,comment
15,deleted
16,deletion
17,dick
18,did
19,die
20,discussion
21,does
22,doesn
23,dog
24,don
25,dont
26,edit
27,editing
28,edits
29,fact
30,faggot
31,fat
32,freedom
33,fuck
34,fucking
35,going
36,good
37,hate
38,heil
39,help
40,hey
41,hi
42,hitler
43,image
44,information
45,jew
46,just
47,know
48,life
49,like
50,link
51,little
52,ll
53,look
54,love
55,make
56,moron
57,need
58,new
59,nigger
60,page
61,pages
62,penis
63,people
64,person
65,personal
66,piece
67,point
68,read
69,really
70,right
71,said
72,say
73,section
74,sex
75,shit
76,source
77,sources
78,stop
79,stupid
80,suck
81,sucks
82,talk
83,tell
84,thank
85,thanks
86,think
87,time
88,use
89,used
90,user
91,vandalism
92,ve
93,wanker
94,want
95,way
96,wiki
97,wikipedia
98,work
99,wp
